physical_element,tx_global_channel,tx_device,tx_local_channel,synthetic_aperture,afe_channel
1,2,1,2,0,2
2,1,1,1,0,1
3,4,1,4,0,4
4,3,1,3,0,3
5,6,1,6,0,6
6,5,1,5,0,5
7,8,1,8,0,8
8,7,1,7,0,7
9,10,1,10,0,10
10,9,1,9,0,9
11,12,1,12,0,12
12,11,1,11,0,11
13,14,1,14,0,14
14,13,1,13,0,13
15,16,1,16,0,16
16,15,1,15,0,15
17,18,1,18,0,18
18,17,1,17,0,17
19,20,1,20,0,20
20,19,1,19,0,19
21,22,1,22,0,22
22,21,1,21,0,21
23,24,1,24,0,24
24,23,1,23,0,23
25,26,1,26,0,26
26,25,1,25,0,25
27,28,1,28,0,28
28,27,1,27,0,27
29,30,1,30,0,30
30,29,1,29,0,29
31,32,1,32,0,32
32,31,1,31,0,31
33,34,2,2,1,2
34,33,2,1,1,1
35,36,2,4,1,4
36,35,2,3,1,3
37,38,2,6,1,6
38,37,2,5,1,5
39,40,2,8,1,8
40,39,2,7,1,7
41,42,2,10,1,10
42,41,2,9,1,9
43,44,2,12,1,12
44,43,2,11,1,11
45,46,2,14,1,14
46,45,2,13,1,13
47,48,2,16,1,16
48,47,2,15,1,15
49,50,2,18,1,18
50,49,2,17,1,17
51,52,2,20,1,20
52,51,2,19,1,19
53,54,2,22,1,22
54,53,2,21,1,21
55,56,2,24,1,24
56,55,2,23,1,23
57,58,2,26,1,26
58,57,2,25,1,25
59,60,2,28,1,28
60,59,2,27,1,27
61,62,2,30,1,30
62,61,2,29,1,29
63,64,2,32,1,32
64,63,2,31,1,31
